num_res,num_rot,alpha,p,shots_per_iter,ground_state,mean_qpu_calls,std_qpu_calls,total_runs,successful_runs,convergence_ratio
5,5,0.2,4,1000,0100000100000010010000010,6522.088353413655,5534.770317598354,1000,996,0.996
5,6,0.2,4,1000,000001001000000010001000000100,7344.377510040161,6172.469148647988,1000,996,0.996
5,7,0.2,4,1000,00000100010000000010000100000000001,15146.957520091848,10962.589961487689,1000,871,0.871
5,8,0.2,4,1000,0000000100100000000010000010000000000001,14790.01280409731,10148.358595325793,1000,781,0.781
5,9,0.2,4,1000,000000010001000000000010000001000000000000010,19796.63394109397,11392.11189257002,1000,713,0.713
5,10,0.2,4,1000,00000001000010000000000010000000100000000000000100,23981.854838709678,12728.147182290011,1000,496,0.496
6,4,0.2,25,1000,010010001000010000101000,10905.0,11451.71093841813,200,200,1.000
6,5,0.2,25,1000,010001000010000010000010010000,24970.0,27152.261906389413,200,200,1.000
6,6,0.2,25,1000,000001001000010000000001000100100000,67140.0,50404.59817901478,200,198,0.990
6,7,0.2,25,1000,000001010000001000000000001000100001000000,74510.101010101,60155.191842213426,198,141,0.712
6,8,0.2,25,1000,000000011000000010000000000001000010000010000000,156865.24822695035,74116.33903707987,158,82,0.519
